,mean_freq,mean_dm,sigma,ra,dec,best_ra,best_dec,ncands,std_ra,std_dec,delta_ra,delta_dec,file_name,plot_path,known_source_label,known_source_likelihood,known_source_name,known_source_p0,known_source_dm,known_source_ra,known_source_dec
21,0.4130787013142635,69.62417797770968,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
22,0.41305266092459486,70.43376144256676,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
23,0.4130787013142635,70.43376144256676,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
24,0.41305266092459486,71.24334490742385,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
25,0.4130787013142635,71.24334490742385,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
26,0.41305266092459486,72.05292837228095,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
27,0.41302662053492617,72.05292837228095,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
28,0.41305266092459486,72.86251183713803,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
29,0.4129832198854783,73.67209530199511,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
30,0.4129919000153679,73.67209530199511,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
31,0.4129919000153679,73.67209530199511,4,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
32,0.41297453975558884,74.4816787668522,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
33,0.4129919000153679,74.4816787668522,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
34,0.41297453975558884,74.4816787668522,4,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
35,0.4129919000153679,75.2912622317093,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
36,0.4129919000153679,75.2912622317093,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
37,0.4129832198854783,76.1008456965664,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
38,0.4129832198854783,76.1008456965664,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
39,0.4129919000153679,76.91042916142347,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
40,0.41297453975558884,76.91042916142347,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
41,0.4130005801452574,77.72001262628058,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
42,0.4129919000153679,77.72001262628058,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
43,0.4130179404050366,78.52959609113765,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
44,0.41297453975558884,78.52959609113765,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
45,0.41300926027514706,79.33917955599475,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
46,0.4129571794958097,79.33917955599475,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
47,0.41300926027514706,80.14876302085183,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
48,0.41300926027514706,80.95834648570893,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
49,0.412931139106141,80.95834648570893,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
50,0.2895668950613881,80.95834648570893,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
51,0.28973397430587794,97.9595992477078,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
52,0.28978966738737455,98.76918271256488,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
53,0.289798949567624,98.76918271256488,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
54,0.28978966738737455,99.57876617742197,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
55,0.2897803852071251,99.57876617742197,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
56,0.289798949567624,100.38834964227907,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
57,0.289798949567624,100.38834964227907,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
58,0.289798949567624,102.00751657199324,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
59,0.289798949567624,102.81710003685033,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
60,0.2896597168638825,104.4362669665645,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
61,0.2896597168638825,106.86501736113578,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
62,0.28957617724163753,108.48418429084995,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
63,0.28958545942188696,109.29376775570705,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
64,0.28957617724163753,110.10335122056414,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
65,0.28975253866637685,110.91293468542122,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
